Date,Time,Actual,Predicted
2024-06-03,23:11:00,239.674,46.627068
2024-07-01,21:06:00,69.797,125.649
2024-06-04,21:31:00,19.953,3.6630912
2024-02-05,07:52:00,6295.283,1715.7719
2024-06-06,00:31:00,0.53,426.45267
2024-04-06,20:07:00,1737.657,57.749428
2024-03-04,19:18:00,89.853,23.820648
2024-04-03,22:30:00,0.99,6.9248013
2024-04-02,21:48:00,8.81,11.967836
2024-06-02,21:28:00,20.074,101.371506
2024-01-04,08:48:00,9.76,378.565
2024-03-06,22:56:00,0.123,13.3394375
2024-03-07,00:03:00,29.693,1.0325158
2024-04-06,22:45:00,0.08,23.631643
2024-06-05,13:39:00,160.333,229.99362
2024-04-05,13:30:00,28.43,199.54626
2024-03-04,21:46:00,0.483,9.287298
2024-02-04,22:56:00,10.623,18.779554
2024-03-04,23:08:00,60.927,6.0408006
2024-07-03,21:48:00,1.657,47.2765
2024-03-01,19:42:00,49.66,254.92632
2024-04-02,23:33:00,19.76,10.840154
2024-07-07,11:26:00,109.157,100.93032
2024-04-04,20:30:00,8.926,20.479557
2024-04-06,22:31:00,0.013,24.275543
2024-03-06,23:27:00,21.207,18.131828
2024-03-05,22:49:00,9.693,10.646183
2024-03-03,19:04:00,0.094,23.662088
2024-07-04,18:37:00,40.54,104.87691
2024-05-03,22:15:00,19.57,24.76187
2024-04-07,13:00:00,20.103,166.01714
2024-04-04,07:23:00,39.6,91.795654
2024-02-07,01:26:00,28.74,0.018132674
2024-04-03,22:08:00,20.82,12.131594
2024-03-03,21:03:00,0.123,12.373711
2024-04-04,15:54:00,0.72,146.99469
2024-03-03,23:06:00,39.76700000000001,7.812626
2024-03-04,22:12:00,19.913,7.848351
2024-07-03,21:21:00,0.327,53.492287
2024-07-03,14:27:00,91.636,328.521
2024-06-04,08:20:00,30.593,228.34953
2024-05-03,23:30:00,169.11,27.661484
2024-06-06,22:37:00,0.36,107.49924
2024-03-03,18:22:00,8.413,61.82854
2024-04-05,21:48:00,10.383,19.435165
2024-03-06,04:59:00,598.88,158.96506
2024-04-04,22:57:00,0.013,6.0229135
2024-07-06,00:27:00,402.037,164.6829
2024-03-06,17:02:00,10.45,11.264668
2024-03-06,21:56:00,7.917,31.378841
2024-06-07,01:10:00,0.157,313.65952
2024-06-04,23:11:00,9.397,41.567
2024-06-04,21:52:00,10.16,59.6765
2024-04-07,00:37:00,10.643,0.6341183
2024-05-05,00:07:00,206.45,229.07448
2024-04-02,16:26:00,295.46,361.42938
2024-06-07,01:16:00,59.593,333.6261
2024-04-05,22:55:00,0.877,9.9566765
2024-04-07,00:32:00,20.1,0.40993518
2024-03-06,00:21:00,0.19,56.992985
2024-02-02,21:03:00,10.164,43.596443
2024-03-06,22:38:00,10.1,14.947637
2024-05-07,11:31:00,20.33,199.5016
2024-04-01,21:12:00,9.476,149.50667
2024-06-04,21:36:00,9.897,63.281967
2024-03-03,21:28:00,19.617,10.213439
2024-04-06,23:10:00,0.83,27.461853
2024-03-07,04:20:00,10.257,41.68706
2024-04-07,21:43:00,10.156,87.20917
2024-03-04,21:11:00,0.08,11.596653
2024-02-02,21:01:00,30.18,93.149475
2024-03-03,20:37:00,0.093,18.736137
2024-05-07,09:56:00,100.247,292.12576
2024-04-04,22:41:00,0.53,8.287554
2024-03-04,09:01:00,34.55,101.67669
2024-03-04,23:06:00,21.29,4.917814
2024-03-05,22:56:00,10.266,10.1586485
2024-05-03,21:19:00,10.577,71.21691
2024-04-02,22:08:00,12.277,8.374099
2024-03-04,22:04:00,0.204,7.452486
2024-03-02,21:52:00,18.676,19.147549
2024-02-04,22:25:00,41.41,28.85401
2024-02-06,23:37:00,3.443,54.072052
2024-05-05,05:57:00,19.6,828.0465
2024-04-06,22:37:00,0.046,23.463661
2024-06-07,11:05:00,10.063,139.90646
2024-02-06,22:41:00,1.38,82.76067
