Date,Time,Actual,Predicted
2024-04-03,18:46:00,0.064,8.108196
2024-06-03,15:41:00,9.223,85.81286
2024-07-03,22:45:00,0.327,15.409693
2024-03-05,19:37:00,19.3,26.296005
2024-01-03,22:07:00,0.076,116.78732
2024-06-02,17:03:00,90.053,77.16043
2024-06-06,14:03:00,39.906,132.50969
2024-04-02,22:36:00,10.217,10.684955
2024-05-02,15:34:00,311.93,192.13171
2024-02-03,15:46:00,180.88,40.30572
2024-04-02,17:33:00,0.11,34.09427
2024-03-02,21:22:00,0.08,30.294477
2024-04-04,21:11:00,8.573,12.0051
2024-03-03,20:18:00,20.406,2.6231678
2024-06-02,21:43:00,0.36,30.70093
2024-04-03,21:25:00,10.194,7.736328
2024-01-02,21:41:00,0.39,117.76765
2024-05-03,21:57:00,100.457,8.077586
2024-03-02,21:01:00,8.46,23.590542
2024-04-03,21:03:00,8.517,7.873222
2024-03-03,20:11:00,0.3940000000000001,15.896911
2024-03-02,06:03:00,3720.6,2872.4087
2024-04-03,21:41:00,0.203,7.3473425
2024-04-02,17:45:00,8.823,31.9128
2024-06-01,21:37:00,0.69,58.971836
2024-02-02,19:25:00,0.346,19.400608
2024-03-04,21:33:00,0.093,9.599338
2024-04-03,17:00:00,29.843,42.96784
2024-04-03,22:45:00,9.73,7.7547317
2024-03-03,21:19:00,0.077,1.9522461
2024-03-03,20:31:00,9.803,14.509225
2024-06-02,22:26:00,9.13,24.749668
2024-07-02,22:41:00,0.093,24.118532
2024-06-05,19:13:00,30.307,0.25703064
2024-04-04,17:27:00,1.13,38.315937
2024-04-04,22:49:00,8.204,7.45321
2024-04-06,11:50:00,101.6,274.87418
2024-06-04,18:42:00,39.28,45.83512
2024-03-02,22:07:00,0.1069999999999999,19.013525
2024-07-03,22:41:00,0.077,15.671589
2024-03-02,22:00:00,0.39,19.532665
2024-04-04,17:19:00,1.536,40.421528
2024-03-02,20:31:00,0.08,26.498014
2024-02-02,20:31:00,0.893,14.452735
2024-03-03,19:52:00,20.336,12.568459
2024-04-03,19:33:00,0.61,4.8005204
2024-04-02,20:31:00,7.97,14.599916
2024-02-02,18:30:00,0.077,27.006577
2024-04-05,04:54:00,20.01,325.51685
2024-03-04,18:06:00,20.286,25.654549
2024-04-02,17:04:00,29.554,40.001194
2024-04-07,11:52:00,120.207,228.86795
2024-03-02,19:34:00,0.126,45.636257
2024-05-05,19:00:00,20.08,36.855812
2024-03-04,21:55:00,9.907,8.649895
2024-06-02,22:13:00,29.58,25.892313
2024-03-04,22:37:00,39.854,7.1733503
2024-03-04,21:48:00,7.79,8.899113
2024-05-05,10:50:00,380.24700000000007,175.79759
2024-05-06,13:41:00,279.72,130.91365
2024-03-04,22:26:00,9.776,8.296622
2024-07-02,21:53:00,0.94,21.68677
2024-03-01,20:38:00,21.936,148.01727
2024-02-02,21:23:00,10.537,54.258865
2024-04-02,19:26:00,0.14,6.4874244
2024-03-07,16:15:00,68.074,219.15456
2024-04-03,22:08:00,8.34,9.069487
2024-04-04,22:31:00,0.14,10.530836
2024-03-02,20:22:00,19.647,37.805454
2024-06-03,21:56:00,10.172999999999998,19.091438
2024-05-03,20:27:00,229.91300000000004,20.412354
2024-04-02,18:22:00,0.22,17.373842
2024-05-07,17:37:00,260.067,105.85297
2024-02-06,22:55:00,0.077,227.139
2024-03-06,18:53:00,139.877,4.2910986
2024-05-03,22:08:00,39.087,7.77949
2024-04-03,18:38:00,0.22,20.749836
2024-04-02,21:55:00,0.36,12.517255
2024-04-02,23:23:00,29.883,7.6363645
2024-05-04,22:03:00,0.796,10.155322
2024-03-06,18:55:00,28.07,138.88481
2024-03-02,20:06:00,0.186,15.6333275
2024-06-01,20:12:00,20.037,92.56863
2024-04-07,21:41:00,0.39,86.32921
2024-04-03,16:37:00,0.266,23.770184
2024-07-04,20:40:00,49.95000000000001,24.137403
2024-03-03,22:00:00,0.143,9.623391
2024-06-04,21:22:00,0.0,0.044268027
2024-01-02,20:45:00,49.143,185.99498
2024-06-05,00:23:00,60.084,837.76794
2024-07-01,16:57:00,820.3,160.08295
2024-04-02,19:45:00,0.283,5.9322686
2024-04-04,19:18:00,0.406,18.07768
2024-04-02,10:30:00,90.187,378.2534
2024-03-06,22:18:00,79.8,47.461773
2024-02-03,18:23:00,9.593,84.28852
2024-04-01,17:41:00,29.257,222.59386
2024-04-01,22:00:00,29.443,95.78467
2024-04-02,18:46:00,8.733,15.157119
2024-04-06,22:28:00,10.22,48.956615
2024-07-01,21:26:00,129.923,51.626614
2024-04-02,23:16:00,0.204,10.4403925
2024-05-04,21:26:00,38.553,11.934952
2024-05-02,21:04:00,109.266,35.05595
2024-07-02,21:49:00,19.133,21.967848
2024-04-06,01:08:00,80.83,202.01744
2024-03-07,00:18:00,20.453,82.55827
2024-01-03,19:13:00,90.12,130.08717
2024-05-07,10:52:00,20.183,172.33783
2024-04-02,20:19:00,0.593,15.598422
2024-06-07,15:19:00,9.237,75.82707
2024-04-03,19:26:00,6.989999999999999,4.989229
2024-03-01,22:22:00,49.76,86.59066
2024-06-07,12:27:00,119.88,126.41736
2024-04-03,21:26:00,8.297,7.9087424
2024-04-03,18:58:00,9.810000000000002,18.233187
2024-04-07,00:00:00,9.257,2.6202476
2024-04-03,20:33:00,0.47,12.8373
2024-03-05,00:52:00,1892.407,771.3399
2024-04-04,17:47:00,1.157,33.743855
2024-07-02,21:22:00,21.257000000000005,24.05309
2024-03-04,13:52:00,1.224,129.12764
2024-04-07,14:18:00,10.323,170.0692
2024-05-04,22:00:00,9.097,10.8149
2024-02-04,21:15:00,0.92,34.266277
2024-04-04,18:57:00,601.893,31.374348
2024-02-02,18:18:00,11.116,28.924017
